Scheme,Corr_Continuous,Corr_Top20_Binary
Scheme_Optimized,0.9019675184440322,0.5329309246358841
Scheme_Discussion,0.9330249459526064,0.49914186443820974
Scheme_Exp_2,0.9684939532078466,0.4881046692101836
Scheme_Exp_5,0.9586454088933831,0.4865948378056113
Scheme_B,0.9846515591225798,0.48313987124905033
Scheme_Passive,0.9987614368748261,0.4723303334326465
Scheme_Baseline,1.0,0.47228431427437295
Scheme_Exp_1,0.9907531130489019,0.444576913962014
Scheme_A,0.985483472174311,0.4437494358053999
Scheme_HighImpact,0.9445559813681703,0.4162588944621683
Scheme_Balanced,0.9624373253285354,0.41586711654359954
Scheme_Exp_4,0.9325178165231461,0.39178106786793293
Scheme_Virality,0.9254722536879005,0.3599558986921583
Scheme_Exp_3,0.91541100269778,0.3357145553521248
Scheme_C,0.11686173825039946,
